,state,date,max_temp,humidity,cloudiness,wind_speed,description,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,sum_passengers,city_rank,qol_index,purchase_power,safety,healh_care,cost_of_living,prop_to_income_ratio,traffic_comm_time,pollution,climate,city,latitude,longitude,high_q
23,NM,2023-03-02 01:23:48,49.96,37,100,18.28,   Government Expenditures ,169136.0,182143.0,193085.0,202443.0,201687.0,196499.0,195241.0,196954.0,205522.0,216422.0,0.28M,19.0,172.6,149.2,28.1,62.8,69.1,3.8,29.2,34.8,67.1,Meadow Lake,34.8014,-106.5436,0
24,AK,2023-03-02 01:23:49,42.69,75,100,23.02,   Government Expenditures ,76803.0,84429.0,90094.0,97989.0,108667.0,114427.0,122910.0,119480.0,124424.0,139082.0,0.25M,38.0,167.3,112.1,38.1,61.2,85.8,2.5,26.8,15.7,41.6,Sitka,57.0531,-135.33,0
25,OR,2023-03-02 01:23:49,46.31,74,0,8.05,   Government Expenditures ,286360.0,314568.0,341102.0,373430.0,397852.0,419070.0,432574.0,440083.0,447040.0,475288.0,1.65M,12.0,173.8,111.0,44.5,72.6,82.9,5.0,33.5,32.6,89.6,North Bend,43.4065,-124.2243,0
26,IA,2023-03-02 01:19:07,43.16,79,0,16.11,   Government Expenditures ,146985.0,152780.0,158470.0,161517.0,168328.0,175019.0,180499.0,187210.0,198314.0,218073.0,0.00M,,,,,,,,,,,Ottumwa,41.02,-92.4113,0
27,OH,2023-03-02 01:23:50,67.89,72,100,10.36,   Government Expenditures ,518354.0,540419.0,561612.0,583584.0,619216.0,656250.0,677150.0,693134.0,727165.0,775456.0,0.63M,10.0,174.0,119.9,52.0,68.4,72.1,7.1,30.4,32.3,71.3,Hamilton,39.1834,-84.5333,1
29,MA,2023-03-02 01:21:47,38.68,81,100,4.0,   Government Expenditures ,268421.0,290578.0,294791.0,310258.0,321513.0,328040.0,334465.0,318123.0,327764.0,348418.0,45.33M,36.0,168.2,108.5,60.7,74.5,84.5,7.8,45.0,30.8,71.7,Bristol,41.8334,-71.1662,0
30,SC,2023-03-02 01:23:51,71.65,86,0,9.22,   Government Expenditures ,200816.0,225343.0,255535.0,294578.0,317126.0,324548.0,329170.0,340535.0,356591.0,384201.0,1.49M,,,,,,,,,,,Hilton Head Island,32.2163,-80.7526,0
31,KS,2023-03-02 01:23:52,52.25,35,0,6.91,   Government Expenditures ,149430.0,160522.0,169709.0,179578.0,183431.0,187393.0,190970.0,201262.0,212468.0,230553.0,0.00M,,,,,,,,,,,Shawnee,39.05,-95.7669,0
32,KS,2023-03-02 01:23:06,53.89,47,84,8.34,   Government Expenditures ,149430.0,160522.0,169709.0,179578.0,183431.0,187393.0,190970.0,201262.0,212468.0,230553.0,0.00M,,,,,,,,,,,Parsons,37.3403,-95.2611,0
33,CA,2023-03-02 01:23:53,47.66,69,0,12.66,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Fortuna,40.5982,-124.1573,1
39,NV,2023-03-02 01:23:53,41.05,73,94,10.0,   Government Expenditures ,316335.0,340096.0,353422.0,375916.0,408103.0,435776.0,457224.0,448123.0,466004.0,497532.0,5.86M,54.0,147.9,110.5,44.3,55.0,73.3,3.7,27.1,52.5,57.4,Pahrump,36.2083,-115.9839,0
40,CA,2023-03-02 01:23:55,53.26,63,20,23.02,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Pismo Beach,35.1428,-120.6413,1
46,HI,2023-03-02 01:23:56,78.71,77,100,4.61,   Government Expenditures ,143873.0,161946.0,169065.0,180610.0,184220.0,186628.0,191721.0,184088.0,188410.0,204287.0,,52.0,152.2,75.4,52.4,72.5,103.0,9.2,41.3,37.3,95.3,Makaha,21.4694,-158.2175,0
47,CA,2023-03-02 01:23:56,51.94,65,20,26.46,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Lompoc,34.6391,-120.4579,1
53,WA,2023-03-02 01:23:56,44.49,58,0,12.66,   Government Expenditures ,503989.0,533433.0,548284.0,567321.0,601385.0,640027.0,672300.0,676406.0,704264.0,778744.0,2.72M,18.0,172.6,118.1,46.9,71.8,94.0,5.8,42.7,31.3,91.7,Walla Walla,46.0646,-118.343,0
55,CA,2023-03-02 01:20:07,53.89,68,0,25.01,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Pacific Grove,36.6177,-121.9166,1
61,IN,2023-03-02 01:23:59,48.29,85,0,3.44,   Government Expenditures ,206223.0,229332.0,247822.0,273753.0,274337.0,255048.0,229897.0,218872.0,231030.0,250115.0,0.00M,15.0,172.9,129.3,41.4,73.6,74.1,2.0,29.5,42.2,69.9,Granger,41.7481,-86.1257,0
62,NY,2023-03-02 01:24:00,40.91,89,100,5.75,   Government Expenditures ,1078264.0,1164061.0,1222449.0,1301691.0,1346456.0,1382020.0,1421997.0,1434541.0,1491359.0,1535625.0,84.43M,17.0,172.8,105.0,53.1,73.0,78.0,6.4,25.4,30.2,66.4,Suffolk,40.8668,-72.7996,0
64,TX,2023-03-02 01:21:10,79.09,89,75,21.85,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Brownsville,25.9018,-97.4975,1
68,AK,2023-03-02 01:25:01,42.78,93,100,6.91,   Government Expenditures ,76803.0,84429.0,90094.0,97989.0,108667.0,114427.0,122910.0,119480.0,124424.0,139082.0,0.25M,38.0,167.3,112.1,38.1,61.2,85.8,2.5,26.8,15.7,41.6,Ketchikan,55.3422,-131.6461,0
69,OR,2023-03-02 01:25:01,46.38,75,0,8.05,   Government Expenditures ,286360.0,314568.0,341102.0,373430.0,397852.0,419070.0,432574.0,440083.0,447040.0,475288.0,1.65M,12.0,173.8,111.0,44.5,72.6,82.9,5.0,33.5,32.6,89.6,Coos Bay,43.3665,-124.2179,0
70,FL,2023-03-02 01:22:07,73.98,91,0,1.01,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Venice,27.0998,-82.4543,1
74,WA,2023-03-02 01:20:43,46.26,67,75,5.75,   Government Expenditures ,503989.0,533433.0,548284.0,567321.0,601385.0,640027.0,672300.0,676406.0,704264.0,778744.0,2.72M,18.0,172.6,118.1,46.9,71.8,94.0,5.8,42.7,31.3,91.7,Washougal,45.5826,-122.3534,0
76,AZ,2023-03-02 01:25:06,46.22,75,100,9.22,   Government Expenditures ,386583.0,426882.0,445864.0,475043.0,493474.0,516519.0,542143.0,541020.0,554363.0,592774.0,1.04M,14.0,173.1,118.4,47.7,59.4,72.5,5.8,29.1,27.8,72.7,Lake Havasu City,34.4839,-114.3224,0
78,UT,2023-03-02 01:25:07,34.59,90,100,4.61,   Government Expenditures ,355630.0,361978.0,365057.0,360619.0,371582.0,385031.0,409420.0,385123.0,391589.0,418705.0,2.31M,43.0,164.7,127.7,66.5,70.4,65.4,3.6,35.1,63.5,66.5,Payson,40.0444,-111.7321,0
79,FL,2023-03-02 01:25:09,72.05,92,20,6.91,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Lynn Haven,30.2455,-85.6483,1
83,TX,2023-03-02 01:25:10,62.51,97,40,3.44,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Lamar,33.6668,-95.5836,1
87,GA,2023-03-02 01:21:16,73.63,87,40,6.91,   Government Expenditures ,405793.0,432925.0,446331.0,463797.0,454535.0,423344.0,410587.0,414046.0,467874.0,515523.0,1.80M,41.0,165.6,127.4,36.2,69.6,73.4,3.1,41.7,44.8,89.7,Waycross,31.2136,-82.354,0
88,LA,2023-03-02 01:25:15,78.01,87,100,12.66,   Government Expenditures ,334126.0,360800.0,378724.0,392924.0,389059.0,387345.0,391650.0,413147.0,436562.0,469219.0,1.56M,,,,,,,,,,,Chalmette,29.9427,-89.9634,0
89,WV,2023-03-02 01:25:15,67.95,60,100,5.37,   Government Expenditures ,118567.0,126213.0,129618.0,131169.0,128528.0,126108.0,126779.0,127073.0,132861.0,146816.0,0.00M,,,,,,,,,,,Moundsville,39.9203,-80.7431,0
90,TX,2023-03-02 01:20:43,61.14,27,0,5.75,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Snyder,32.7179,-100.9176,1
94,ID,2023-03-02 01:22:03,30.29,84,100,7.0,   Government Expenditures ,97673.0,103504.0,108816.0,112120.0,116308.0,120054.0,123867.0,124246.0,126093.0,136371.0,0.00M,,,,,,,,,,,Burley,42.5357,-113.7928,0
95,MD,2023-03-02 01:25:19,51.13,87,0,8.05,   Government Expenditures ,534327.0,616853.0,675216.0,762724.0,765719.0,712183.0,640236.0,595673.0,621385.0,660603.0,1.75M,40.0,166.1,135.2,24.4,75.6,74.3,1.0,31.2,50.4,81.2,Mayo,38.8876,-76.5119,0
96,OR,2023-03-02 01:26:21,44.47,51,0,4.61,   Government Expenditures ,286360.0,314568.0,341102.0,373430.0,397852.0,419070.0,432574.0,440083.0,447040.0,475288.0,1.65M,12.0,173.8,111.0,44.5,72.6,82.9,5.0,33.5,32.6,89.6,Jackson,42.4165,-122.8345,0
97,WI,2023-03-02 01:26:22,30.97,97,100,3.44,   Government Expenditures ,292367.0,303838.0,313292.0,319112.0,308493.0,282018.0,251343.0,241818.0,256523.0,275591.0,0.00M,26.0,170.8,93.0,65.4,75.4,71.7,8.1,28.9,25.1,51.6,Merrill,45.1805,-89.6835,0
99,MI,2023-03-02 01:26:23,34.12,97,100,5.75,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Alpena,45.0617,-83.4327,0
100,CA,2023-03-02 01:26:24,51.69,57,0,1.01,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Ukiah,39.1502,-123.2078,1
106,MA,2023-03-02 01:26:26,39.34,77,100,8.05,   Government Expenditures ,268421.0,290578.0,294791.0,310258.0,321513.0,328040.0,334465.0,318123.0,327764.0,348418.0,45.33M,36.0,168.2,108.5,60.7,74.5,84.5,7.8,45.0,30.8,71.7,Nantucket,41.2835,-70.0995,0
107,CA,2023-03-02 01:26:27,48.27,56,75,11.5,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Redlands,34.0556,-117.1825,1
113,TX,2023-03-02 01:26:29,67.23,20,0,4.61,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Big Spring,32.2504,-101.4787,1
117,UT,2023-03-02 01:26:30,41.47,82,99,5.14,   Government Expenditures ,355630.0,361978.0,365057.0,360619.0,371582.0,385031.0,409420.0,385123.0,391589.0,418705.0,2.31M,43.0,164.7,127.7,66.5,70.4,65.4,3.6,35.1,63.5,66.5,Hurricane,37.1753,-113.2899,0
118,AK,2023-03-02 01:26:31,27.09,85,100,4.61,   Government Expenditures ,76803.0,84429.0,90094.0,97989.0,108667.0,114427.0,122910.0,119480.0,124424.0,139082.0,0.25M,38.0,167.3,112.1,38.1,61.2,85.8,2.5,26.8,15.7,41.6,Kenai,60.5544,-151.2583,0
119,AK,2023-03-02 01:25:14,16.61,70,75,5.75,   Government Expenditures ,76803.0,84429.0,90094.0,97989.0,108667.0,114427.0,122910.0,119480.0,124424.0,139082.0,0.25M,38.0,167.3,112.1,38.1,61.2,85.8,2.5,26.8,15.7,41.6,Fairbanks,64.8378,-147.7164,0
120,CA,2023-03-02 01:26:32,47.68,75,100,8.01,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Eureka,40.8021,-124.1637,1
126,NE,2023-03-02 01:26:33,36.12,67,100,11.99,   Government Expenditures ,86848.0,96517.0,102252.0,108983.0,110372.0,109591.0,109303.0,111896.0,118643.0,131338.0,0.00M,,,,,,,,,,,North Platte,41.1239,-100.7654,0
127,TX,2023-03-02 01:23:33,77.68,85,100,16.11,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Kingsville,27.5159,-97.8561,1
131,CA,2023-03-02 01:26:34,53.89,48,1,19.71,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Carpinteria,34.3989,-119.5185,1
137,CA,2023-03-02 01:22:59,54.68,37,0,13.8,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Dublin,37.7021,-121.9358,1
143,NM,2023-03-02 01:26:35,58.84,14,0,16.11,   Government Expenditures ,169136.0,182143.0,193085.0,202443.0,201687.0,196499.0,195241.0,196954.0,205522.0,216422.0,0.28M,19.0,172.6,149.2,28.1,62.8,69.1,3.8,29.2,34.8,67.1,Tucumcari,35.1717,-103.725,0
144,NJ,2023-03-02 01:26:35,46.04,87,100,5.01,   Government Expenditures ,341025.0,338796.0,343080.0,332242.0,334605.0,337079.0,338062.0,345313.0,363664.0,392735.0,8.82M,,,,,,,,,,,Brigantine,39.4101,-74.3646,0
145,ND,2023-03-02 01:26:37,-1.68,84,0,8.05,   Government Expenditures ,84182.0,96608.0,104104.0,114135.0,123153.0,130834.0,135114.0,135881.0,143473.0,153745.0,0.00M,,,,,,,,,,,Valley City,46.9233,-98.0032,0
146,OH,2023-03-02 01:24:54,70.0,51,100,19.57,   Government Expenditures ,518354.0,540419.0,561612.0,583584.0,619216.0,656250.0,677150.0,693134.0,727165.0,775456.0,0.63M,10.0,174.0,119.9,52.0,68.4,72.1,7.1,30.4,32.3,71.3,Columbus,39.9612,-82.9988,1
148,SD,2023-03-02 01:26:37,28.33,63,39,11.99,   Government Expenditures ,107009.0,115536.0,116713.0,120359.0,122097.0,123123.0,126827.0,118769.0,121907.0,130542.0,,,,,,,,,,,,Belle Fourche,44.6714,-103.8522,0
149,MA,2023-03-02 01:26:38,37.81,74,100,6.91,   Government Expenditures ,268421.0,290578.0,294791.0,310258.0,321513.0,328040.0,334465.0,318123.0,327764.0,348418.0,45.33M,36.0,168.2,108.5,60.7,74.5,84.5,7.8,45.0,30.8,71.7,Palmer,42.1584,-72.3287,0
150,MI,2023-03-02 01:26:39,26.04,94,100,3.0,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Marquette,46.5333,-87.6335,0
151,FL,2023-03-02 01:26:40,79.02,73,75,4.0,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Lake Mary,28.7589,-81.3178,1
155,NC,2023-03-02 01:26:41,69.75,86,0,9.22,   Government Expenditures ,566529.0,616016.0,621819.0,633533.0,633430.0,614989.0,591243.0,517182.0,518677.0,542180.0,3.74M,9.0,174.1,105.4,61.2,67.7,80.0,6.4,36.3,31.6,83.9,Piney Green,34.716,-77.3202,1
157,WI,2023-03-02 01:26:41,35.96,91,100,10.36,   Government Expenditures ,292367.0,303838.0,313292.0,319112.0,308493.0,282018.0,251343.0,241818.0,256523.0,275591.0,0.00M,26.0,170.8,93.0,65.4,75.4,71.7,8.1,28.9,25.1,51.6,Suamico,44.6319,-88.0393,0
159,LA,2023-03-02 01:26:41,77.0,88,40,18.41,   Government Expenditures ,334126.0,360800.0,378724.0,392924.0,389059.0,387345.0,391650.0,413147.0,436562.0,469219.0,1.56M,,,,,,,,,,,Houma,29.5958,-90.7195,0
160,AK,2023-03-02 01:26:42,29.8,56,20,25.99,   Government Expenditures ,76803.0,84429.0,90094.0,97989.0,108667.0,114427.0,122910.0,119480.0,124424.0,139082.0,0.25M,38.0,167.3,112.1,38.1,61.2,85.8,2.5,26.8,15.7,41.6,Homer,59.6425,-151.5483,0
161,TX,2023-03-02 01:24:42,59.22,44,0,9.22,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Abilene,32.4487,-99.7331,1
165,AK,2023-03-02 01:26:42,27.01,80,40,4.61,   Government Expenditures ,76803.0,84429.0,90094.0,97989.0,108667.0,114427.0,122910.0,119480.0,124424.0,139082.0,0.25M,38.0,167.3,112.1,38.1,61.2,85.8,2.5,26.8,15.7,41.6,Soldotna,60.4878,-151.0583,0
166,OR,2023-03-02 01:25:13,43.93,77,100,8.05,   Government Expenditures ,286360.0,314568.0,341102.0,373430.0,397852.0,419070.0,432574.0,440083.0,447040.0,475288.0,1.65M,12.0,173.8,111.0,44.5,72.6,82.9,5.0,33.5,32.6,89.6,Astoria,46.1879,-123.8313,0
167,MO,2023-03-02 01:27:44,54.88,42,0,3.44,   Government Expenditures ,342806.0,361897.0,370851.0,379456.0,380017.0,375877.0,369377.0,366949.0,385412.0,408000.0,0.00M,24.0,171.3,114.7,41.4,72.7,70.5,4.5,29.9,34.1,75.1,Jasper,37.2001,-94.3502,0
169,MN,2023-03-02 01:26:36,17.37,56,100,6.91,   Government Expenditures ,481416.0,519959.0,555911.0,592604.0,633074.0,686979.0,748308.0,805894.0,857403.0,920680.0,0.21M,31.0,169.5,122.8,44.7,77.2,75.3,5.6,35.9,27.5,49.5,Bemidji,47.4736,-94.8803,0
170,CA,2023-03-02 01:27:44,46.85,71,40,12.66,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Blythe,33.6103,-114.5964,1
176,HI,2023-03-02 01:27:20,78.78,75,100,21.85,   Government Expenditures ,143873.0,161946.0,169065.0,180610.0,184220.0,186628.0,191721.0,184088.0,188410.0,204287.0,,52.0,152.2,75.4,52.4,72.5,103.0,9.2,41.3,37.3,95.3,Kailua,21.4022,-157.7394,0
177,FL,2023-03-02 01:27:30,72.0,93,0,10.36,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Callaway,30.153,-85.5699,1
181,MI,2023-03-02 01:23:59,37.47,90,100,4.61,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Traverse City,44.7631,-85.6206,0
182,WA,2023-03-02 01:27:46,44.56,84,100,8.05,   Government Expenditures ,503989.0,533433.0,548284.0,567321.0,601385.0,640027.0,672300.0,676406.0,704264.0,778744.0,2.72M,18.0,172.6,118.1,46.9,71.8,94.0,5.8,42.7,31.3,91.7,Kelso,46.1468,-122.9084,0
184,WI,2023-03-02 01:27:47,44.74,68,75,10.36,   Government Expenditures ,292367.0,303838.0,313292.0,319112.0,308493.0,282018.0,251343.0,241818.0,256523.0,275591.0,0.00M,26.0,170.8,93.0,65.4,75.4,71.7,8.1,28.9,25.1,51.6,Beaver Dam,43.4578,-88.8373,0
186,VA,2023-03-02 01:27:47,53.69,74,20,7.0,   Government Expenditures ,517779.0,572806.0,599554.0,630938.0,609792.0,562193.0,514384.0,480580.0,503852.0,540056.0,10.89M,,,,,,,,,,,Sterling,39.0062,-77.4286,0
187,CA,2023-03-02 01:27:48,43.32,90,84,1.01,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,El Dorado,38.7666,-120.5177,1
193,UT,2023-03-02 01:25:58,29.37,93,75,0.0,   Government Expenditures ,355630.0,361978.0,365057.0,360619.0,371582.0,385031.0,409420.0,385123.0,391589.0,418705.0,2.31M,43.0,164.7,127.7,66.5,70.4,65.4,3.6,35.1,63.5,66.5,Cedar City,37.6775,-113.0619,0
194,MT,2023-03-02 01:27:51,24.49,80,100,6.91,   Government Expenditures ,97938.0,105451.0,108145.0,107903.0,106456.0,103700.0,106132.0,96243.0,95295.0,105947.0,0.01M,,,,,,,,,,,Glendive,47.1053,-104.7125,0
195,CO,2023-03-02 01:27:51,31.95,78,100,17.27,   Government Expenditures ,568335.0,586706.0,607709.0,617820.0,685891.0,789345.0,887881.0,926516.0,953823.0,1034161.0,1.50M,37.0,167.3,130.7,54.7,69.7,80.8,3.8,36.0,43.6,56.3,Golden,39.7555,-105.2211,0
196,AZ,2023-03-02 01:27:52,33.19,95,100,0.0,   Government Expenditures ,386583.0,426882.0,445864.0,475043.0,493474.0,516519.0,542143.0,541020.0,554363.0,592774.0,1.04M,14.0,173.1,118.4,47.7,59.4,72.5,5.8,29.1,27.8,72.7,Prescott,34.54,-112.4685,0
198,MO,2023-03-02 01:27:53,52.57,36,0,3.44,   Government Expenditures ,342806.0,361897.0,370851.0,379456.0,380017.0,375877.0,369377.0,366949.0,385412.0,408000.0,0.00M,24.0,171.3,114.7,41.4,72.7,70.5,4.5,29.9,34.1,75.1,Excelsior Springs,39.3392,-94.2261,0
200,WI,2023-03-02 01:27:53,33.04,93,100,5.75,   Government Expenditures ,292367.0,303838.0,313292.0,319112.0,308493.0,282018.0,251343.0,241818.0,256523.0,275591.0,0.00M,26.0,170.8,93.0,65.4,75.4,71.7,8.1,28.9,25.1,51.6,Marathon,44.9,-89.7668,0
